Country,Coffee type,Year,Production,Continent,Year_clean
Nicaragua,Arabica,1995/96,59100000.0,Central America,1995
Nigeria,Robusta,1995/96,3180000.0,Africa,1995
Panama,Arabica,1995/96,12540000.0,Central America,1995
Sierra Leone,Robusta,1995/96,2640000.0,Africa,1995
Sri Lanka,Robusta/Arabica,1995/96,2160000.0,Asia,1995
Thailand,Robusta/Arabica,1995/96,79020000.0,Asia,1995
Togo,Robusta,1995/96,5040000.0,Africa,1995
Trinidad and Tobago,Robusta,1995/96,1080000.0,Central America,1995
Uganda,Robusta/Arabica,1995/96,194640000.0,Africa,1995
Venezuela,Arabica,1995/96,88020000.0,South America,1995
Vietnam,Robusta/Arabica,1995/96,238200000.0,Asia,1995
Yemen,Arabica,1995/96,0.0,Asia,1995
Angola,Robusta/Arabica,1996/97,4260000.0,Africa,1996
Bolivia,Arabica,1996/97,7500000.0,South America,1996
Brazil,Arabica/Robusta,1996/97,1751820000.0,South America,1996
Burundi,Arabica/Robusta,1996/97,24060000.0,Africa,1996
Ecuador,Arabica/Robusta,1996/97,119580000.0,South America,1996
Indonesia,Robusta/Arabica,1996/97,493260000.0,Asia,1996
Madagascar,Robusta,1996/97,50940000.0,Africa,1996
Malawi,Arabica,1996/97,2940000.0,Africa,1996
Papua New Guinea,Arabica/Robusta,1996/97,65340000.0,Oceania,1996
Paraguay,Arabica,1996/97,1860000.0,South America,1996
Peru,Arabica,1996/97,108360000.0,South America,1996
Rwanda,Arabica,1996/97,17580000.0,Africa,1996
East Timor,Arabica,1996/97,0.0,Asia,1996
Zimbabwe,Arabica,1996/97,10440000.0,Africa,1996
Congo,Robusta,1996/97,840000.0,Africa,1996
Cuba,Arabica,1996/97,21960000.0,Central America,1996
Dominican Republic,Arabica/Robusta,1996/97,31140000.0,Central America,1996
Haiti,Arabica,1996/97,25680000.0,Central America,1996
Philippines,Robusta/Arabica,1996/97,53400000.0,Asia,1996
Tanzania,Arabica/Robusta,1996/97,45840000.0,Africa,1996
Zambia,Arabica,1996/97,1980000.0,Africa,1996
Cameroon,Robusta/Arabica,1996/97,85920000.0,Africa,1996
Central African Republic,Robusta,1996/97,12480000.0,Africa,1996
Colombia,Arabica,1996/97,646740000.0,South America,1996
Costa Rica,Arabica,1996/97,133320000.0,Central America,1996
Ivory Coast,Robusta,1996/97,291540000.0,Africa,1996
Congo,Robusta/Arabica,1996/97,47700000.0,Africa,1996
El Salvador,Arabica,1996/97,152040000.0,Central America,1996
Equatorial Guinea,Robusta,1996/97,60000.0,Africa,1996
Ethiopia,Arabica,1996/97,204420000.0,Africa,1996
Gabon,Robusta,1996/97,60000.0,Africa,1996
Ghana,Robusta,1996/97,1920000.0,Africa,1996
Guatemala,Arabica/Robusta,1996/97,271500000.0,Central America,1996
Guinea,Robusta,1996/97,8880000.0,Africa,1996
Guyana,Robusta,1996/97,0.0,South America,1996
Honduras,Arabica,1996/97,120240000.0,Central America,1996
India,Robusta/Arabica,1996/97,205020000.0,Asia,1996
Jamaica,Arabica,1996/97,3240000.0,Central America,1996
Kenya,Arabica,1996/97,74820000.0,Africa,1996
Laos,Robusta,1996/97,0.0,Asia,1996
Liberia,Robusta,1996/97,300000.0,Africa,1996
Mexico,Arabica/Robusta,1996/97,306600000.0,North America,1996
Nepal,Arabica,1996/97,0.0,Asia,1996
Nicaragua,Arabica,1996/97,47580000.0,Central America,1996
Nigeria,Robusta,1996/97,2760000.0,Africa,1996
Panama,Arabica,1996/97,12660000.0,Central America,1996
Sierra Leone,Robusta,1996/97,2460000.0,Africa,1996
Sri Lanka,Robusta/Arabica,1996/97,2220000.0,Asia,1996
Thailand,Robusta/Arabica,1996/97,84240000.0,Asia,1996
Togo,Robusta,1996/97,17460000.0,Africa,1996
Trinidad and Tobago,Robusta,1996/97,1080000.0,Central America,1996
Uganda,Robusta/Arabica,1996/97,205140000.0,Africa,1996
Venezuela,Arabica,1996/97,72360000.0,South America,1996
Vietnam,Robusta/Arabica,1996/97,345120000.0,Asia,1996
Yemen,Arabica,1996/97,0.0,Asia,1996
Angola,Robusta/Arabica,1997/98,3840000.0,Africa,1997
Bolivia,Arabica,1997/98,8460000.0,South America,1997
Brazil,Arabica/Robusta,1997/98,1568880000.0,South America,1997
Burundi,Arabica/Robusta,1997/98,15000000.0,Africa,1997
Ecuador,Arabica/Robusta,1997/98,71460000.0,South America,1997
Indonesia,Robusta/Arabica,1997/98,457260000.0,Asia,1997
Madagascar,Robusta,1997/98,37440000.0,Africa,1997
Malawi,Arabica,1997/98,3660000.0,Africa,1997
Papua New Guinea,Arabica/Robusta,1997/98,64440000.0,Oceania,1997
Paraguay,Arabica,1997/98,2940000.0,South America,1997
Peru,Arabica,1997/98,115800000.0,South America,1997
